"Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Site.Name","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped"
2000267,"dawnfresh farming ltd","f",2010-05-20,NA,"rainbow trout","fish weighing more than 5 grams",18,300,"human error - hum",57,0,"fs0268",1978-01-01,"tervine","argyll and bute","yes","pa35 1he","low","not in a management area","rainbow trout",57
2000076,"torhouse trout ltd","f",2005-06-24,"21:00","rainbow trout","fish weighing more than 5 grams",3,70,"predator - prd",4500,0,"fs0268",1978-01-01,"tervine","argyll and bute","yes","pa35 1he","low","not in a management area","rainbow trout",4500
2000200,"scot trout farming ltd","f",2008-08-20,NA,"rainbow trout","fish weighing more than 5 grams",15,350400,"unknown - unk",1254,14,"fs0268",1978-01-01,"tervine","argyll and bute","yes","pa35 1he","low","not in a management area","rainbow trout",1240
2000355,"aquascot sea farms ltd.","s",2002-04-27,NA,"atlantic salmon","grower fish (salmon only)",15,2400,"human error - hum",19750,0,"fs0336",1998-04-01,"druimyeon bay","argyll and bute","yes","pa41 7aa","medium","18b - gigha","atlantic salmon, wrasse, lumpsucker",19750
2000163,"kames fish farming ltd","f",2007-05-01,"NA","rainbow trout","fish weighing more than 5 grams",15,3172,"no actual escape of fish - nes",0,0,"fs0432",1980-07-01,"loch tay","perth and kinross","yes","ph15 2hp","low","not in a management area","rainbow trout",0
2000356,"kames fish farming ltd","f",2013-06-03,"NA","rainbow trout","fish weighing more than 5 grams",12,199,"predator - prd",270,0,"fs0432",1980-07-01,"loch tay","perth and kinross","yes","ph15 2hp","low","not in a management area","rainbow trout",270
2000347,"hydro seafoods gsp","s",2000-04-01,NA,"atlantic salmon","grower fish (salmon only)",15,60,"human error - hum",1000,0,"fs0481",1988-01-01,"north of hoy","shetland","no","ze1 0tq","high","3a - sw shetland mainland","atlantic salmon, lumpsucker, wrasse",1000
2000376,"murray seafood ltd.","s",1998-09-08,NA,"atlantic salmon","grower fish (salmon only)",15,3100,"human error - hum",10000,0,"fs0559",1985-10-16,"ardyne","argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",10000
2000145,"pan fish scotland ltd","s",2007-01-22,"14:00","atlantic salmon","grower fish (salmon only)",17,3300,"no actual escape of fish - nes",0,0,"fs0590",1989-08-17,"glenan bay","argyll and bute","yes","pa21 2da","medium","19a - fyne","lumpsucker, wrasse, atlantic salmon",0
2000152,"mainstream scotland ltd","s",2007-03-15,"13:00","rainbow trout","fish weighing more than 5 grams",1,235,"hole in net - hol",0,0,"fs0597",1989-09-11,"meil bay","orkney","yes","kw15 1gp","medium","8b - central orkney","atlantic salmon, lumpsucker",0
2000167,"invicta trout ltd","f",2007-06-11,"11:00","rainbow trout","fish weighing more than 5 grams",18,400,"screen failure - scr",12,12,"fs0598",1990-04-02,"trossachs trout  ltd","stirling","yes","fk17 8hg","medium","not in a management area","rainbow trout, common carp (inc. koi & mirror), brown trout and sea trout, tiger trout",0
2000087,"lewis salmon ltd","s",2004-08-11,"11:00","atlantic salmon","grower fish (salmon only)",20,4000,"equipment damage - eqd",10000,0,"fs0615",1996-06-14,"arbhair","western isles","no",NA,"not applicable",NA,"wrasse, atlantic salmon",10000
2000479,"grieg seafood shetland ltd","s",2018-09-18,"11:00","atlantic salmon","grower fish (salmon only)",11,2000,"hole in net - hol",0,0,"fs1287",2014-05-28,"corlarach","highland","yes","iv55 8wf","medium","12b - dunvegan","wrasse, atlantic salmon, lumpsucker",0
2000458,"dawnfresh farming ltd","s",2017-08-18,NA,"rainbow trout","fish weighing more than 5 grams",14,3100,"hole in net - hol",216,150,"fs1288",2014-06-18,"etive 6","argyll and bute","yes","pa35 1hu","medium","15b - linnhe, firth of lorne, sound of mull and loch sunart","rainbow trout",66
2000499,"mowi scotland ltd","s",2019-10-18,"10:15","atlantic salmon","grower fish (salmon only)",6,1200,"hole in net - hol",0,0,"fs1296",2015-04-09,"colonsay","argyll and bute","yes","ph33 6rx","low","16e - colonsay","atlantic salmon, wrasse, lumpsucker",0
2000065,"north uist fisheries ltd","f",2005-01-11,"12:00","atlantic salmon","grower fish (salmon only)",15,3172,"weather - wth",151821,1618,"fs0642",1991-03-01,"south loch scadavay","western isles","no",NA,"low","not in a management area","atlantic salmon, brown trout and sea trout",150203
2000207,"mainstream scotland ltd","s",2008-10-08,NA,"atlantic salmon","grower fish (salmon only)",17,4500,"weather - wth",0,0,"fs0656",1991-09-10,"djubawick","shetland","yes","ze2 9bn","low","1b - s unst, e yell, fetlar","atlantic salmon, lumpsucker",0
2000054,"kames fish farming ltd.","s",2005-10-11,NA,"rainbow trout","fish weighing more than 5 grams",6,1000,"no actual escape of fish - nes",0,0,"fs0011",1998-08-29,"loch slapin","highland","no",NA,"low",NA,"rainbow trout",0
2000269,"marine harvest (scotland) ltd","s",2010-09-30,"12:00","atlantic salmon","grower fish (salmon only)",18,3000,"equipment wear and tear - eqw",100,0,"fs0016",1991-08-30,"loch alsh (sron)","highland","yes","iv40 8at","high","14a - carron, kishorn, alsh, duich","lumpsucker, atlantic salmon, wrasse",100
2000279,"scottish sea farms ltd","s",2011-02-21,NA,"atlantic salmon","grower fish (salmon only)",22,5500,"no actual escape of fish - nes",0,0,"fs0813",1999-01-15,"puldrite","orkney","yes","kw15 1sd","medium","8b - central orkney","atlantic salmon",0
2000352,"stolt sea farms ltd.","s",2002-02-28,NA,"atlantic salmon","grower fish (salmon only)",15,3000,"predator - prd",3000,0,"fs0853",1995-06-13,"lochmaddy","western isles","yes","hs6 5aa","low","5c - e north uist","wrasse, atlantic salmon, lumpsucker",3000
2000124,"ferramus (ss)","s",2003-08-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"predator - prd",50983,0,"fs0864",1995-10-17,"kirk taing","orkney","no",NA,NA,NA,"atlantic salmon",50983
2000117,"finfish ltd","s",2002-08-07,"12:00","atlantic salmon","grower fish (salmon only)",16,2600,"hole in net - hol",36,2,"fs0883",1996-10-01,"ghlas mhor","highland","no",NA,"low",NA,"atlantic salmon",34
2000382,"hydro seafoods gsp","s",1999-01-29,NA,"atlantic salmon","grower fish (salmon only)",15,1000,"weather - wth",1e+05,0,"fs0915",1998-05-21,"breigeo inshore","shetland","no","ze2 9nq","medium","3a - sw shetland mainland","lumpsucker, atlantic salmon, wrasse",1e+05
2000058,"fjord seafood scotland farming ltd","s",2005-03-30,"10:30","atlantic salmon","grower fish (salmon only)",11,2200,"human error - hum",0,0,"fs0927",1998-10-20,"kyles of vuia","western isles","yes","hs2 9hw","medium","6a - loch roag","atlantic salmon, lumpsucker, wrasse",0
2000115,"western isles seafoods co. ltd","s",2002-10-17,"14:30","atlantic salmon","grower fish (salmon only)",21,950,"human error - hum",500,0,"fs0927",1998-10-20,"kyles of vuia","western isles","yes","hs2 9hw","medium","6a - loch roag","atlantic salmon, lumpsucker, wrasse",500
2000391,"cro lax ltd.","s",1999-11-15,NA,"atlantic salmon","grower fish (salmon only)",15,1000,"weather - wth",10000,0,"fs0948",1999-04-20,"score holms ","shetland","yes","ze1 0px","high","3a - sw shetland mainland","atlantic salmon, lumpsucker",10000
2000494,"the scottish salmon company","s",2019-08-31,NA,"atlantic salmon","grower fish (salmon only)",9,1400,"predator - prd",0,0,"fs1103",2007-03-07,"vuia mor","western isles","yes","hs2 9hw","medium","6a - loch roag","atlantic salmon, lumpsucker, wrasse",0
2000381,"marine harvest (scotland) ltd","f",2013-07-15,"15:30","atlantic salmon","salmon fresh water stages",4,11,"human error - hum",200,0,"fs1104",2007-06-05,"laddie wood, loch garry","highland","yes","ph35 4hr","low","not in a management area","atlantic salmon",200
2000308,"marine harvest (scotland) ltd","s",2013-02-03,NA,"atlantic salmon","grower fish (salmon only)",10,2400,"equipment wear and tear - eqw",0,0,"fs1261",2012-02-23,"hellisay","western isles","yes","hs9 5ya","low","7c - barra","atlantic salmon, lumpsucker, wrasse",0
2000498,"mowi scotland ltd","s",2019-10-10,NA,"atlantic salmon","grower fish (salmon only)",15,4500,"equipment damage - eqd",23970,0,"fs1261",2012-02-23,"hellisay","western isles","yes","hs9 5ya","low","7c - barra","wrasse, lumpsucker, atlantic salmon",23970
2000039,"pan fish scotland ltd","s",2006-04-17,"14:00","atlantic salmon","grower fish (salmon only)",13,2200,"no actual escape of fish - nes",0,0,"fs0708",1991-10-16,"portree","highland","yes","iv51 9bd","high","11b - sound of raasay, ainort, scalpay","lumpsucker, wrasse, atlantic salmon",0
2000401,"balta island seafare ltd","s",2014-01-02,NA,"atlantic salmon","grower fish (salmon only)",20,4000,"predator - prd",150,0,"fs0717",1991-10-16,"balta isle","shetland","yes","ze2 9dl","medium","1a - e unst","atlantic salmon",150
2000089,"balta island seafare ltd","s",2004-04-29,NA,"atlantic salmon","grower fish (salmon only)",24,5000,"predator - prd",11300,0,"fs0717",1991-10-16,"balta isle","shetland","yes","ze2 9dl","medium","1a - e unst","atlantic salmon",11300
2000255,"david m brien","f",2010-01-04,"04:00","rainbow trout","fish weighing more than 5 grams",8,18,"weather - wth",19879,300,"fs0052",1973-08-17,"college mill","perth and kinross","yes","ph1 3jy","medium","not in a management area","brown trout and sea trout, rainbow trout",19579
2000033,"landcatch ltd","b",2006-04-07,"12:00","atlantic salmon","grower fish (salmon only)",12,100,"screen failure - scr",490,0,"fs0090",1985-10-28,"ormsary broodstock unit","argyll and bute","yes","pa31 8pe","medium","18a - loch caolisport","atlantic salmon",490
2000222,"hebridean smolts ltd","f",2009-03-25,NA,"atlantic salmon","grower fish (salmon only)",12,60,"no actual escape of fish - nes",0,0,"fs0632",1990-01-01,"loch bayhead","western isles","no","hs8 5sa","low","not in a management area","atlantic salmon",0
2000457,"sunbeam aquaculture ltd","f",2017-08-29,"NA","atlantic salmon","salmon fresh water stages",15,50,"screen failure - scr",163,0,"fs0146",1983-01-01,"kinlochmoidart hatchery","highland","yes","ph38 4nd","medium","not in a management area","atlantic salmon",163
2000353,"kames fish farming ltd.","f",2002-03-20,NA,"rainbow trout","fish weighing more than 5 grams",15,1825,"vandalism - van",2400,0,"fs0150",1996-06-11,"loch lochy","highland","yes","ph34 4eq","medium","not in a management area","atlantic salmon",2400
2000131,"marine harvest (scotland) ltd","s",2005-01-14,"15:30","atlantic salmon","grower fish (salmon only)",10,2000,"no actual escape of fish - nes",160000,0,"fs0154",1977-03-01,"hole bay","western isles","no",NA,"medium",NA,"atlantic salmon",160000
2000194,"drummond fish farms","f",2008-01-01,NA,"rainbow trout","fish weighing more than 5 grams",12,350,"equipment damage - eqd",0,6000,"fs0179",1986-05-01,"drummond trout farm and fishery","perth and kinross","no",NA,"low",NA,"rainbow trout",0
2000370,"papil salmon farms ltd.","s",1995-11-01,NA,"atlantic salmon","grower fish (salmon only)",15,2500,"weather - wth",20000,0,"fs0213",1992-02-05,"crooie","shetland","no","n/a","medium","3a - sw shetland mainland","lumpsucker, atlantic salmon, wrasse",20000
2000231,"marine harvest (scotland) ltd","s",2009-06-19,"14:30","atlantic salmon","grower fish (salmon only)",17,3700,"hole in net - hol",621,0,"fs0240",1983-05-18,"linnhe","highland","yes","ph33 7ah","high","15b - linnhe, firth of lorne, sound of mull and loch sunart","wrasse, lumpsucker, atlantic salmon",621
2000443,"grieg seafood shetland ltd","s",2016-06-01,"10:00","atlantic salmon","grower fish (salmon only)",14,3172,"equipment wear and tear - eqw",0,0,"fs0292",1992-01-16,"bight of foraness","shetland","yes","ze1 0px","medium","2c - ne shetland mainland","atlantic salmon, lumpsucker",0
2000059,"fjord seafood scotland farming ltd","s",2005-01-14,"NA","atlantic salmon","grower fish (salmon only)",20,4500,"weather - wth",12000,0,"fs0304",1994-02-01,"greinam island","western isles","no",NA,"medium",NA,"atlantic salmon",12000
2000343,"aquascot sea farms ltd.","s",2000-01-31,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"no actual escape of fish - nes",0,0,"fs0359",1998-04-25,"kempie bay","highland","yes","iv27 4ue","medium","9a - loch eriboll","wrasse, atlantic salmon, lumpsucker",0
2000205,"mainstream scotland ltd","f",2008-09-16,NA,"atlantic salmon","salmon fresh water stages",9,40,"no actual escape of fish - nes",0,0,"fs0371",1995-09-01,"yetts o' muckart","clackmannanshire","yes","fk14 7jt","low","not in a management area","atlantic salmon",0
2000363,"grieg seafood shetland ltd","s",2000-06-01,NA,"atlantic salmon","grower fish (salmon only)",15,3000,"equipment wear and tear - eqw",6000,0,"fs0389",1987-09-01,"roe sound","shetland","no",NA,"not applicable",NA,"atlantic salmon",6000
2000399,"hydro seafoods gsp","f",2000-11-16,NA,"atlantic salmon","grower fish (salmon only)",15,80,"human error - hum",3000,0,"fs0429",1989-01-01,"loch ba","argyll and bute","yes","pa71 6hr","low","not in a management area","atlantic salmon",3000
2000041,"kames fish farming ltd","f",2006-04-25,"09:00","rainbow trout","fish weighing more than 5 grams",22,2500,"hole in net - hol",27,15,"fs0432",1980-07-01,"loch tay","perth and kinross","yes","ph15 2hp","low","not in a management area","rainbow trout",12
2000166,"kames fish farming ltd","f",2007-07-05,"12:00","rainbow trout","fish weighing more than 5 grams",9,15,"transfer pipe failure - trp",1000,200,"fs0432",1980-07-01,"loch tay","perth and kinross","yes","ph15 2hp","low","not in a management area","rainbow trout",800
2000397,"hjaltland seafarms ltd","s",2013-09-23,NA,"atlantic salmon","grower fish (salmon only)",17,3300,"hole in net - hol",0,0,"fs0447",1991-09-05,"papa","shetland","no","ze1 0px","high","3a - sw shetland mainland","atlantic salmon, lumpsucker",0
2000198,"lighthouse caledonia ltd","s",2008-07-11,NA,"atlantic salmon","grower fish (salmon only)",30,4500,"hole in net - hol",5500,0,"fs0464",1985-09-01,"ardmaddy","argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","lumpsucker, atlantic salmon, wrasse",5500
2000455,"marine harvest (scotland) ltd","s",2017-07-01,"11:00","atlantic salmon","grower fish (salmon only)",11,2800,"chafe/ snag - cha",4,3,"fs0605",1990-11-13,"creag an t'sagairt (loch hourn)","highland","yes","iv40 8jh","low","14b - hourn","atlantic salmon, lumpsucker, wrasse",1
2000484,"grieg seafood shetland ltd","s",2019-01-04,"14:00","atlantic salmon","grower fish (salmon only)",15,3172,"predator - prd",0,0,"fs1287",2014-05-28,"corlarach","highland","yes","iv55 8wf","medium","12b - dunvegan","wrasse, atlantic salmon, lumpsucker",0
2000522,"kames fish farming ltd","s",2020-10-23,"10:00","atlantic salmon","grower fish (salmon only)",6,3172,"hole in net - hol",0,0,"fs1290",2014-09-17,"shuna sw (rubh'an trilleachain)","argyll and bute","yes","pa31 8ua","medium","16d - seil sound to loch craignish","atlantic salmon, lumpsucker, wrasse",0
2000215,"mainstream scotland ltd","s",2008-12-21,NA,"atlantic salmon","grower fish (salmon only)",20,5200,"no actual escape of fish - nes",0,0,"fs0656",1991-09-10,"djubawick","shetland","yes","ze2 9bn","low","1b - s unst, e yell, fetlar","atlantic salmon, lumpsucker",0
2000223,"dawnfresh farming ltd","f",2009-04-20,NA,"rainbow trout","fish weighing more than 5 grams",12,150,"screen failure - scr",2500,0,"fs0007",1992-04-01,"rothiemurchus ponds","highland","no","ph22 1qh","medium","not in a management area","brown trout and sea trout, rainbow trout",2500
2000413,"marine harvest (scotland) ltd","s",2014-11-08,"10:10","atlantic salmon","grower fish (salmon only)",11,1000,"human error - hum",1,0,"fs0015",1988-11-24,"loch greshornish","highland","yes","iv51 9pn","medium","12a - snizort","lumpsucker, atlantic salmon, wrasse",1
2000364,"marine harvest (scotland) ltd","s",2000-06-15,NA,"atlantic salmon","grower fish (salmon only)",15,3400,"predator - prd",5776,0,"fs0016",1991-08-30,"loch alsh (sron)","highland","yes","iv40 8at","high","14a - carron, kishorn, alsh, duich","atlantic salmon, lumpsucker, wrasse",5776
2000463,"marine harvest (scotland) ltd","s",2017-11-23,"10:45","atlantic salmon","grower fish (salmon only)",24,4700,"equipment damage - eqd",1558,0,"fs0016",1991-08-30,"loch alsh (sron)","highland","yes","iv40 8at","high","14a - carron, kishorn, alsh, duich","wrasse, lumpsucker, atlantic salmon",1558
2000513,"the scottish salmon company","s",2020-03-14,"NA","atlantic salmon","grower fish (salmon only)",12,2300,"predator - prd",0,0,"fs0752",1992-10-07,"taranaish","western isles","yes","hs2 9ed","medium","6a - loch roag","lumpsucker, wrasse, atlantic salmon",0
2000239,"lighthouse caledonia ltd","s",2009-07-27,NA,"atlantic salmon","grower fish (salmon only)",15,300,"no actual escape of fish - nes",0,0,"fs0752",1992-10-07,"taranaish","western isles","yes","hs2 9ed","medium","6a - loch roag","atlantic salmon, lumpsucker, wrasse",0
2000075,"lakeland marine farm ltd","f",2004-12-20,NA,"atlantic salmon","grower fish (salmon only)",36,10000,"predator - prd",1,1,"fs0757",1993-06-01,"carnassarie hatchery","argyll and bute","no",NA,"low","not in a management area","atlantic salmon",0
2000354,"orkney sea farms ltd","s",2002-03-30,NA,"atlantic salmon","grower fish (salmon only)",15,1650,"equipment damage - eqd",20000,0,"fs0813",1999-01-15,"puldrite","orkney","yes","kw15 1sd","medium","8b - central orkney","atlantic salmon",20000
2000078,"stolt sea farms ltd.","f",2005-01-11,"17:00","atlantic salmon","grower fish (salmon only)",15,3172,"weather - wth",194000,27453,"fs0862",1995-10-06,"loch grey (loch an eilean liath)","western isles","no","hs4 3xz","low","not in a management area","rainbow trout",166547
2000339,"finfish ltd","s",2000-01-29,NA,"atlantic salmon","grower fish (salmon only)",15,2300,"weather - wth",230000,0,"fs0883",1996-10-01,"ghlas mhor","highland","no",NA,"low",NA,"atlantic salmon",230000
2000322,"migdale smolts ltd","f",2001-04-01,NA,"atlantic salmon","salmon fresh water stages",15,100,"human error - hum",20000,0,"fs0890",1996-11-01,"jubilee loch shin","highland","yes","iv27 4ny","medium","not in a management area","atlantic salmon",20000
2000147,"pan fish scotland ltd","s",2007-02-20,"07:00","atlantic salmon","grower fish (salmon only)",11,2400,"no actual escape of fish - nes",0,0,"fs0894",1997-04-02,"rubha stillaig","argyll and bute","yes","pa21 2da","medium","19a - fyne","lumpsucker, wrasse, atlantic salmon",0
2000049,"fjord seafood scotland farming ltd","s",2006-09-13,"14:30","atlantic salmon","grower fish (salmon only)",5,350,"hole in net - hol",100,0,"fs0927",1998-10-20,"kyles of vuia","western isles","yes","hs2 9hw","medium","6a - loch roag","lumpsucker, atlantic salmon, wrasse",100
2000097,"ardvar salmon","s",2003-10-06,NA,"atlantic salmon","grower fish (salmon only)",34,4500,"weather - wth",150,0,"fs0933",1997-10-30,"clashnessie bay","highland","yes","iv27 4th","medium","9c - badcall, chairn bhain, eddrachillis","atlantic salmon, lumpsucker, wrasse",150
2000216,"loch duart ltd","s",2008-12-29,NA,"atlantic salmon","grower fish (salmon only)",35,5000,"hole in net - hol",6560,0,"fs0933",1997-10-30,"clashnessie bay","highland","yes","iv27 4th","medium","9c - badcall, chairn bhain, eddrachillis","atlantic salmon, lumpsucker, wrasse",6560
2000492,"dawnfresh farming ltd","s",2019-06-14,NA,"rainbow trout","fish weighing more than 5 grams",3,1000,"hole in net - hol",33072,0,"fs1067",2003-09-09,"inverawe (east) etive 2","argyll and bute","no","pa35 1hu","high","15b - linnhe, firth of lorne, sound of mull and loch sunart","rainbow trout",33072
2000470,"grieg seafood shetland ltd","s",2018-03-12,"08:00","atlantic salmon","grower fish (salmon only)",26,3000,"predator - prd",0,0,"fs1076",2004-03-12,"setterness north (bomlo)","shetland","yes","ze1 0px","medium","2c - ne shetland mainland","atlantic salmon, lumpsucker",0
2000028,"marine harvest (scotland) ltd","s",2006-03-16,"12:30","atlantic salmon","grower fish (salmon only)",16,3000,"hole in net - hol",223,0,"fs1083",2004-09-08,"groatay","western isles","yes","hs6 5at","medium","5c - e north uist","wrasse, lumpsucker, atlantic salmon",223
2000520,"scottish sea farms ltd","s",2020-09-30,NA,"atlantic salmon","fish weighing more than 5 grams",7,2000,"inappropriate equipment - eqi",0,0,"fs1093",2006-04-18,"teisti geo","shetland","yes","n/a","medium","3a - sw shetland mainland","wrasse, lumpsucker, atlantic salmon",0
2000504,"the scottish salmon company","s",2019-12-23,"NA","atlantic salmon","grower fish (salmon only)",12,3172,"no actual escape of fish - nes",0,0,"fs1103",2007-03-07,"vuia mor","western isles","yes","hs2 9hw","medium","6a - loch roag","lumpsucker, atlantic salmon, wrasse",0
2000417,"dawnfresh farming ltd","s",2015-04-03,"13:00","rainbow trout","fish weighing more than 5 grams",15,4300,"hole in net - hol",2091,0,"fs1112",2008-06-27,"etive 4","argyll and bute","yes","pa35 1hu","medium","15b - linnhe, firth of lorne, sound of mull and loch sunart","rainbow trout",2091
2000209,"dawnfresh farming ltd","s",2008-10-25,"17:00","rainbow trout","fish weighing more than 5 grams",16,1500,"no actual escape of fish - nes",0,0,"fs1112",2008-06-27,"etive 4","argyll and bute","yes","pa35 1hu","medium","15b - linnhe, firth of lorne, sound of mull and loch sunart","rainbow trout",0
2000422,"marine harvest (scotland) ltd","s",2015-06-02,"NA","atlantic salmon","grower fish (salmon only)",20,4500,"hole in net - hol",16000,0,"fs1176",2010-03-23,"eilean grianain","argyll and bute","yes","pa28 6sb","low","19c - e kintyre","wrasse, lumpsucker, atlantic salmon",16000
2000512,"mowi scotland ltd","s",2020-02-24,"NA","atlantic salmon","grower fish (salmon only)",6,1500,"equipment damage - eqd",0,0,"fs1176",2010-03-23,"eilean grianain","argyll and bute","yes","pa28 6sb","low","19c - e kintyre","lumpsucker, atlantic salmon, wrasse",0
2000519,"mowi scotland ltd","s",2020-08-20,"10:00","atlantic salmon","grower fish (salmon only)",13,4100,"weather - wth",48834,0,"fs1176",2010-03-23,"eilean grianain","argyll and bute","yes","pa28 6sb","low","19c - e kintyre","lumpsucker, atlantic salmon, wrasse",48834
2000445,"marine harvest (scotland) ltd","s",2016-09-11,"NA","atlantic salmon","grower fish (salmon only)",15,850,"net under water - nuw",0,0,"fs1261",2012-02-23,"hellisay","western isles","yes","hs9 5ya","low","7c - barra","atlantic salmon, wrasse, lumpsucker",0
2000259,"dawnfresh farming ltd","s",2010-02-13,NA,"rainbow trout","fish weighing more than 5 grams",24,4500,"unknown - unk",0,12,"fs0040",1993-01-01,"inverawe (west) etive 1","argyll and bute","no",NA,"low",NA,"rainbow trout",0
2000345,"david m brien","f",2000-02-01,NA,"rainbow trout","fish weighing more than 5 grams",15,500,"flooding - fld",4000,0,"fs0052",1973-08-17,"college mill","perth and kinross","yes","ph1 3jy","medium","not in a management area","brown trout and sea trout, rainbow trout",4000
2000180,"loch duart ltd","s",2007-11-08,"15:00","atlantic salmon","grower fish (salmon only)",7,1000,"weather - wth",10400,0,"fs0065",1985-08-22,"loch laxford","highland","yes","iv27 4th","low","9b - laxford","atlantic salmon, wrasse, lumpsucker",10400
2000136,"hebridean smolts ltd","f",2006-12-08,"14:30","atlantic salmon","salmon fresh water stages",10,60,"equipment damage - eqd",5000,0,"fs0145",1983-01-01,"mingarry hatchery","western isles","yes","hs8 5ry","high","not in a management area","brown trout and sea trout, atlantic salmon",5000
2000451,"marine harvest (scotland) ltd","s",2017-03-02,"10:00","lumpsucker","fish weighing more than 5 grams",8,18,"human error - hum",283,0,"fs0629",1999-07-07,"poll na gille","argyll and bute","yes","pa31 8ua","medium","16d - seil sound to loch craignish","lumpsucker, atlantic salmon, wrasse",283
2000454,"marine harvest (scotland) ltd","s",2017-06-19,"08:15","atlantic salmon","grower fish (salmon only)",15,2000,"human error - hum",0,0,"fs0629",1999-07-07,"poll na gille","argyll and bute","yes","pa31 8ua","medium","16d - seil sound to loch craignish","atlantic salmon, wrasse, lumpsucker",0
2000261,"the scottish salmon company","f",2010-04-22,NA,"atlantic salmon","salmon fresh water stages",12,75,"unknown - unk",0,0,"fs0149",1986-01-01,"loch langavat","western isles","yes","hs3 3jd","low","not in a management area","atlantic salmon",0
2000518,"dawnfresh farming ltd","f",2020-07-20,"NA","rainbow trout","fish weighing more than 5 grams",20,764,"predator - prd",1601,0,"fs0180",1984-09-01,"loch earn","perth and kinross","yes","fk19 8pz","low","not in a management area","rainbow trout",1601
2000388,"drummond fish farms ltd.","f",1999-09-01,NA,"rainbow trout","fish weighing more than 5 grams",15,200,"predator - prd",0,0,"fs0180",1984-09-01,"loch earn","perth and kinross","yes","fk19 8pz","low","not in a management area","rainbow trout",0
